branch;chainage;type_code;station_label;dfs0
Bac Dong;25790.0;1; PR/106 ;.\Waterdemand2.dfs0
BAC LIEU;9470.0;1;W46 ;.\Waterdemand2.dfs0
BAC LIEU;14274.0;1;W46 ;.\Waterdemand2.dfs0
BAC LIEU;24414.0;1;W46 ;.\Waterdemand2.dfs0
BAC LIEU;28427.0;1;W30 ;.\Waterdemand2.dfs0
BACH NGUU;6840.0;1;W52 ;.\Waterdemand2.dfs0
BACH NGUU;20122.0;1;W38 ;.\Waterdemand2.dfs0
BACH NGUU;30269.0;1;W43 ;.\Waterdemand2.dfs0
BACH NGUU;34472.0;1;W39 ;.\Waterdemand2.dfs0
BACH NGUU;36973.0;1;W39 ;.\Waterdemand2.dfs0
Bach nguu;39893.0;1;W39 ;.\Waterdemand2.dfs0
BACON;2000.0;1;W18 ;.\Waterdemand2.dfs0
BACTRANG;3000.0;1; SMT/84 ;.\Waterdemand2.dfs0
BAHIEN2;1261.0;1;W53 ;.\Waterdemand2.dfs0
BAHIEN2;3003.0;1;W53 ;.\Waterdemand2.dfs0
BANBE2;1213.0;1;W17 ;.\Waterdemand2.dfs0
BANBE2;2737.0;1;W17 ;.\Waterdemand2.dfs0
Bao Dinh;12805.0;1; TA/98 ;.\Waterdemand2.dfs0
BAQUAN1;200.0;1;W17 ;.\Waterdemand2.dfs0
BAQUAN1;1946.0;1;W17 ;.\Waterdemand2.dfs0
BAQUAN2;160.0;1;W17 ;.\Waterdemand2.dfs0
BAQUAN2;2855.0;1;W17 ;.\Waterdemand2.dfs0
Bass_E;89749.0;1; NMT/68 ;.\Waterdemand2.dfs0
Bass_West;68477.0;1; NMT/67 ;.\Waterdemand2.dfs0
Bassac;0.0;1; NMT/70 ;.\Waterdemand2.dfs0
Bassac;18803.0;1; NMT/70 ;.\Waterdemand2.dfs0
Bassac;23155.0;1; NMT/70 ;.\Waterdemand2.dfs0
Bassac;27707.0;1; NMT/70 ;.\Waterdemand2.dfs0
Bassac;33562.0;1; LXQ/12 ;.\Waterdemand2.dfs0
Bassac;33562.0;1; LXQ/12 ;.\Waterdemand2.dfs0
Bassac;38444.0;1; LXQ/13 ;.\Waterdemand2.dfs0
Bassac;41182.0;1; LXQ/13 ;.\Waterdemand2.dfs0
Bassac;50171.0;1; NMT/74 ;.\Waterdemand2.dfs0
Bassac;54469.0;1; LXQ/14 ;.\Waterdemand2.dfs0
BASSAC;74310.0;1;W16 ;.\Waterdemand2.dfs0
BASSAC;80306.0;1;W17 ;.\Waterdemand2.dfs0
BASSAC;104180.0;1;W18 ;.\Waterdemand2.dfs0
BASSAC;108646.0;1;W18 ;.\Waterdemand2.dfs0
BASSAC;117110.0;1;W18 ;.\Waterdemand2.dfs0
BASSAC;123492.0;1;W19 ;.\Waterdemand2.dfs0
Bassac;130800.0;1; NMT/80 ;.\Waterdemand2.dfs0
BASSAC;131576.0;1;W23 ;.\Waterdemand2.dfs0
BASSAC;143210.0;1;W23 ;.\Waterdemand2.dfs0
BASSAC;145886.0;1;W23 ;.\Waterdemand2.dfs0
Bassac;152090.0;1; SMT/82 ;.\Waterdemand2.dfs0
Bau Nau1;6138.0;1; PR/110 ;.\Waterdemand2.dfs0
BAY HAP;4285.0;1;W60 ;.\Waterdemand2.dfs0
BAY HAP;12525.0;1;W60 ;.\Waterdemand2.dfs0
BAY HAP;26111.0;1;W60 ;.\Waterdemand2.dfs0
BAY HAP;30345.0;1;W60 ;.\Waterdemand2.dfs0
BAY HAP;42642.0;1;W65 ;.\Waterdemand2.dfs0
Bay Thuoc;6000.0;1; PR/107 ;.\Waterdemand2.dfs0
Bay Thuoc;14000.0;1; PR/107 ;.\Waterdemand2.dfs0
Bay Thuoc;18025.0;1; PR/107 ;.\Waterdemand2.dfs0
Bay Thuoc;26000.0;1; PR/107 ;.\Waterdemand2.dfs0
BBCBANG;2000.0;1;W27 ;.\Waterdemand2.dfs0
BBCBANG;2000.0;1;W27 ;.\Waterdemand2.dfs0
Binh Chanh;12495.0;1;BL/93 ;.\Waterdemand2.dfs0
BINH HUNG;2000.0;1;W28 ;.\Waterdemand2.dfs0
Binh Thanh;1196.0;1; PR/109 ;.\Waterdemand2.dfs0
Binh Thanh;11250.0;1; PR/108 ;.\Waterdemand2.dfs0
Bo Bo;1250.0;1; WEVC/117 ;.\Waterdemand2.dfs0
BO THAO;2000.0;1;W26 ;.\Waterdemand2.dfs0
BOILOI;2458.0;1;W52 ;.\Waterdemand2.dfs0
BON THUOC1;200.0;1;W28 ;.\Waterdemand2.dfs0
BON THUOC2;3000.0;1;W43 ;.\Waterdemand2.dfs0
BON THUOC2;6250.0;1;W43 ;.\Waterdemand2.dfs0
Bon Tong;21275.0;1; LXQ/13 ;.\Waterdemand2.dfs0
Bon Tong;34025.0;1; LXQ/14 ;.\Waterdemand2.dfs0
Bon Tong;41463.0;1; LXQ/14 ;.\Waterdemand2.dfs0
BONG BINH1;2000.0;1;W19 ;.\Waterdemand2.dfs0
BONG BINH1;2000.0;1;W19 ;.\Waterdemand2.dfs0
Branch AA;6172.0;1;BL/92 ;.\Waterdemand2.dfs0
Branch AB;2944.0;1;BL/92 ;.\Waterdemand2.dfs0
Branch AC;6996.0;1;BL/93 ;.\Waterdemand2.dfs0
BRANCH1001;1260.0;1;W48 ;.\Waterdemand2.dfs0
BRANCH1002;2338.0;1;W48 ;.\Waterdemand2.dfs0
BRANCH1002;7591.0;1;W48 ;.\Waterdemand2.dfs0
BRANCH1003;200.0;1;W48 ;.\Waterdemand2.dfs0
BRANCH1003;1863.0;1;W48 ;.\Waterdemand2.dfs0
BRANCH1006;3000.0;1;W48 ;.\Waterdemand2.dfs0
BRANCH1008;3621.0;1;W48 ;.\Waterdemand2.dfs0
BRANCH1009;200.0;1;W48 ;.\Waterdemand2.dfs0
BRANCH1012;3000.0;1;W48 ;.\Waterdemand2.dfs0
BRANCH1013;3000.0;1;W48 ;.\Waterdemand2.dfs0
BRANCH1015;1368.0;1;W48 ;.\Waterdemand2.dfs0
BRANCH1018;200.0;1;W48 ;.\Waterdemand2.dfs0
BRANCH1018;3916.0;1;W48 ;.\Waterdemand2.dfs0
BRANCH1019;200.0;1;W48 ;.\Waterdemand2.dfs0
BRANCH1020;3000.0;1;W48 ;.\Waterdemand2.dfs0
BRANCH1022;200.0;1;W48 ;.\Waterdemand2.dfs0
BRANCH1023;200.0;1;W48 ;.\Waterdemand2.dfs0
BRANCH1024;200.0;1;W48 ;.\Waterdemand2.dfs0
BRANCH1025;4767.0;1;W48 ;.\Waterdemand2.dfs0
BRANCH1027;914.0;1;W47 ;.\Waterdemand2.dfs0
BRANCH1028;4750.0;1;W47 ;.\Waterdemand2.dfs0
BRANCH1029;3000.0;1;W47 ;.\Waterdemand2.dfs0
BRANCH1030;2704.0;1;W47 ;.\Waterdemand2.dfs0
BRANCH1031;1866.0;1;W47 ;.\Waterdemand2.dfs0
BRANCH1034;200.0;1;W47 ;.\Waterdemand2.dfs0
BRANCH1035;200.0;1;W47 ;.\Waterdemand2.dfs0
BRANCH1038;200.0;1;W47 ;.\Waterdemand2.dfs0
BRANCH1039;200.0;1;W47 ;.\Waterdemand2.dfs0
