tram;thoi_gian;t_s;bief;sec;ZREF;Z;QMIN;FR;VMIN;Y;Q
TanChau;2011-10-02 04:00:00;100800.0;29;1126;-32.2556;4.594;25029.693;0.09529;1.4324;36.849;25029.693
MyThuan;2011-10-02 04:00:00;100800.0;32;1305;-25.7667;1.497;15644.996;0.07019;0.9575;27.263;15644.996
VamNao;2011-10-02 04:00:00;100800.0;47;1510;-21.7944;4.141;7715.272;0.07831;0.9617;25.936;7715.272
ChauDoc;2011-10-02 05:00:00;104400.0;3;62;-18.895;5.364;8250.998;0.10677;1.3355;24.259;8250.998
CanTho;2011-10-02 05:00:00;104400.0;6;269;-26.9112;2.382;12345.968;0.04861;0.6611;29.294;12345.968
TanChau;2011-10-02 05:00:00;104400.0;29;1126;-32.2556;4.543;24822.584;0.0948;1.4237;36.798;24822.584
MyThuan;2011-10-02 05:00:00;104400.0;32;1305;-25.7667;1.831;13649.223;0.05993;0.8208;27.598;13649.223
VamNao;2011-10-02 05:00:00;104400.0;47;1510;-21.7944;4.102;7634.785;0.0777;0.954;25.896;7634.785
ChauDoc;2011-10-02 06:00:00;108000.0;3;62;-18.895;5.332;8209.356;0.10656;1.3315;24.227;8209.356
CanTho;2011-10-02 06:00:00;108000.0;6;269;-26.9112;2.585;11907.614;0.04624;0.6309;29.496;11907.614
TanChau;2011-10-02 06:00:00;108000.0;29;1126;-32.2556;4.522;24505.684;0.09372;1.4068;36.777;24505.684
MyThuan;2011-10-02 06:00:00;108000.0;32;1305;-25.7667;2.073;13695.641;0.05922;0.8134;27.84;13695.641
VamNao;2011-10-02 06:00:00;108000.0;47;1510;-21.7944;4.111;7359.278;0.07485;0.919;25.905;7359.278
ChauDoc;2011-10-02 07:00:00;111600.0;3;62;-18.895;5.338;8128.166;0.10545;1.3178;24.233;8128.166
CanTho;2011-10-02 07:00:00;111600.0;6;269;-26.9112;2.594;13501.167;0.0524;0.715;29.505;13501.167
TanChau;2011-10-02 07:00:00;111600.0;29;1126;-32.2556;4.559;24049.398;0.09176;1.3784;36.814;24049.398
MyThuan;2011-10-02 07:00:00;111600.0;32;1305;-25.7667;2.118;15347.302;0.06618;0.9094;27.884;15347.302
VamNao;2011-10-02 07:00:00;111600.0;47;1510;-21.7944;4.191;6974.6;0.07056;0.8668;25.986;6974.6
ChauDoc;2011-10-02 08:00:00;115200.0;3;62;-18.895;5.394;8062.135;0.10404;1.3025;24.289;8062.135
CanTho;2011-10-02 08:00:00;115200.0;6;269;-26.9112;2.527;15008.959;0.05852;0.7977;29.438;15008.959
TanChau;2011-10-02 08:00:00;115200.0;29;1126;-32.2556;4.647;24044.85;0.09124;1.3729;36.902;24044.85
MyThuan;2011-10-02 08:00:00;115200.0;32;1305;-25.7667;2.011;17108.906;0.07427;1.0194;27.777;17108.906
VamNao;2011-10-02 08:00:00;115200.0;47;1510;-21.7944;4.272;6803.528;0.06832;0.8411;26.066;6803.528
ChauDoc;2011-10-02 09:00:00;118800.0;3;62;-18.895;5.451;8070.748;0.10359;1.2993;24.346;8070.748
CanTho;2011-10-02 09:00:00;118800.0;6;269;-26.9112;2.399;16141.551;0.06349;0.8636;29.31;16141.551
TanChau;2011-10-02 09:00:00;118800.0;29;1126;-32.2556;4.729;24391.045;0.09208;1.3877;36.984;24391.045
MyThuan;2011-10-02 09:00:00;118800.0;32;1305;-25.7667;1.841;18259.807;0.08013;1.0975;27.608;18259.807
VamNao;2011-10-02 09:00:00;118800.0;47;1510;-21.7944;4.326;7057.719;0.0705;0.8695;26.121;7057.719
ChauDoc;2011-10-02 10:00:00;122400.0;3;62;-18.895;5.49;8107.579;0.10368;1.302;24.385;8107.579
CanTho;2011-10-02 10:00:00;122400.0;6;269;-26.9112;2.247;17023.484;0.06767;0.9181;29.158;17023.484
TanChau;2011-10-02 10:00:00;122400.0;29;1126;-32.2556;4.771;24759.836;0.09323;1.4061;37.027;24759.836
MyThuan;2011-10-02 10:00:00;122400.0;32;1305;-25.7667;1.642;19196.105;0.08532;1.1659;27.408;19196.105
VamNao;2011-10-02 10:00:00;122400.0;47;1510;-21.7944;4.351;7339.792;0.07314;0.9028;26.145;7339.792
ChauDoc;2011-10-02 11:00:00;126000.0;3;62;-18.895;5.513;8161.295;0.10415;1.3088;24.408;8161.295
CanTho;2011-10-02 11:00:00;126000.0;6;269;-26.9112;2.084;17730.586;0.07128;0.9645;28.996;17730.586
TanChau;2011-10-02 11:00:00;126000.0;29;1126;-32.2556;4.784;25073.984;0.09434;1.4232;37.039;25073.984
MyThuan;2011-10-02 11:00:00;126000.0;32;1305;-25.7667;1.436;19885.457;0.08957;1.2209;27.202;19885.457
VamNao;2011-10-02 11:00:00;126000.0;47;1510;-21.7944;4.347;7556.027;0.07533;0.9297;26.141;7556.027
ChauDoc;2011-10-02 12:00:00;129600.0;3;62;-18.895;5.515;8212.68;0.10478;1.3168;24.41;8212.68
CanTho;2011-10-02 12:00:00;129600.0;6;269;-26.9112;1.933;18138.186;0.07371;0.9947;28.844;18138.186
TanChau;2011-10-02 12:00:00;129600.0;29;1126;-32.2556;4.771;25290.566;0.09523;1.4363;37.026;25290.566
MyThuan;2011-10-02 12:00:00;129600.0;32;1305;-25.7667;1.237;20281.412;0.09256;1.2585;27.004;20281.412
VamNao;2011-10-02 12:00:00;129600.0;47;1510;-21.7944;4.322;7719.451;0.07714;0.9513;26.116;7719.451
ChauDoc;2011-10-02 13:00:00;133200.0;3;62;-18.895;5.501;8255.711;0.10547;1.3249;24.396;8255.711
CanTho;2011-10-02 13:00:00;133200.0;6;269;-26.9112;1.797;18314.002;0.07515;1.0117;28.709;18314.002
TanChau;2011-10-02 13:00:00;133200.0;29;1126;-32.2556;4.724;25190.525;0.09513;1.4335;36.98;25190.525
MyThuan;2011-10-02 13:00:00;133200.0;32;1305;-25.7667;1.054;20469.801;0.09456;1.2827;26.821;20469.801
VamNao;2011-10-02 13:00:00;133200.0;47;1510;-21.7944;4.276;7809.912;0.07839;0.9653;26.07;7809.912
ChauDoc;2011-10-02 14:00:00;136800.0;3;62;-18.895;5.466;8264.904;0.10594;1.3293;24.361;8264.904
CanTho;2011-10-02 14:00:00;136800.0;6;269;-26.9112;1.676;18368.855;0.07603;1.0214;28.588;18368.855
TanChau;2011-10-02 14:00:00;136800.0;29;1126;-32.2556;4.663;25182.082;0.09546;1.4368;36.919;25182.082
MyThuan;2011-10-02 14:00:00;136800.0;32;1305;-25.7667;0.889;20515.957;0.09583;1.2972;26.656;20515.957
VamNao;2011-10-02 14:00:00;136800.0;47;1510;-21.7944;4.209;7773.815;0.07854;0.965;26.004;7773.815
ChauDoc;2011-10-02 15:00:00;140400.0;3;62;-18.895;5.414;8266.513;0.10647;1.3338;24.309;8266.513
CanTho;2011-10-02 15:00:00;140400.0;6;269;-26.9112;1.568;18327.584;0.07645;1.0252;28.479;18327.584
TanChau;2011-10-02 15:00:00;140400.0;29;1126;-32.2556;4.591;25061.166;0.09543;1.4344;36.846;25061.166
MyThuan;2011-10-02 15:00:00;140400.0;32;1305;-25.7667;0.743;20398.668;0.09623;1.3001;26.51;20398.668
VamNao;2011-10-02 15:00:00;140400.0;47;1510;-21.7944;4.137;7767.593;0.07886;0.9685;25.932;7767.593
ChauDoc;2011-10-02 16:00:00;144000.0;3;62;-18.895;5.356;8256.399;0.10692;1.337;24.251;8256.399
CanTho;2011-10-02 16:00:00;144000.0;6;269;-26.9112;1.478;18145.174;0.07619;1.02;28.389;18145.174
TanChau;2011-10-02 16:00:00;144000.0;29;1126;-32.2556;4.508;24895.57;0.09529;1.4301;36.764;24895.57
MyThuan;2011-10-02 16:00:00;144000.0;32;1305;-25.7667;0.639;20018.871;0.09511;1.2833;26.405;20018.871
VamNao;2011-10-02 16:00:00;144000.0;47;1510;-21.7944;4.057;7700.899;0.07861;0.9649;25.851;7700.899
ChauDoc;2011-10-02 17:00:00;147600.0;3;62;-18.895;5.292;8236.795;0.10732;1.3393;24.187;8236.795
CanTho;2011-10-02 17:00:00;147600.0;6;269;-26.9112;1.458;17428.996;0.07329;0.9809;28.369;17428.996
TanChau;2011-10-02 17:00:00;147600.0;29;1126;-32.2556;4.418;24640.684;0.09485;1.421;36.673;24640.684
MyThuan;2011-10-02 17:00:00;147600.0;32;1305;-25.7667;0.735;18033.332;0.08512;1.1499;26.502;18033.332
VamNao;2011-10-02 17:00:00;147600.0;47;1510;-21.7944;3.972;7613.892;0.07816;0.959;25.766;7613.892
ChauDoc;2011-10-02 18:00:00;151200.0;3;62;-18.895;5.22;8202.091;0.10759;1.3397;24.115;8202.091
CanTho;2011-10-02 18:00:00;151200.0;6;269;-26.9112;1.758;14243.444;0.05861;0.7885;28.669;14243.444
TanChau;2011-10-02 18:00:00;151200.0;29;1126;-32.2556;4.334;24549.641;0.095;1.421;36.589;24549.641
MyThuan;2011-10-02 18:00:00;151200.0;32;1305;-25.7667;1.222;13537.692;0.06184;0.8407;26.988;13537.692
VamNao;2011-10-02 18:00:00;151200.0;47;1510;-21.7944;3.886;7500.516;0.07745;0.9497;25.68;7500.516
ChauDoc;2011-10-02 19:00:00;154800.0;3;62;-18.895;5.15;8170.977;0.10791;1.3406;24.045;8170.977
CanTho;2011-10-02 19:00:00;154800.0;6;269;-26.9112;2.188;11172.276;0.04459;0.6044;29.099;11172.276
TanChau;2011-10-02 19:00:00;154800.0;29;1126;-32.2556;4.259;24310.83;0.09452;1.4118;36.515;24310.83
MyThuan;2011-10-02 19:00:00;154800.0;32;1305;-25.7667;1.704;11367.841;0.05032;0.6881;27.471;11367.841
VamNao;2011-10-02 19:00:00;154800.0;47;1510;-21.7944;3.819;7412.939;0.07689;0.9425;25.614;7412.939
ChauDoc;2011-10-02 20:00:00;158400.0;3;62;-18.895;5.097;8120.833;0.10777;1.3368;23.992;8120.833
