survey_name;river;file_stem;chainage_survey;x_utm;y_utm;mike_branch;mike_chainage;dist_proj_m;n_pts;width_m;z_bed;z_bank_L;z_bank_R;awet_m2;sec_file
SH39;BASSAC;SongHau;204200.0;627312.0347396717;1072167.4585970868;CuaDinhAn;12799.6;99.7;328;1585.7;-14.64;1.51;1.95;20017.0;SongHau_SH39.csv
SH39P;BASSAC;SongHau;204200.0;622938.3531309296;1067790.509156131;CuaTranDe;13833.4;54.5;210;992.5;-12.61;1.25;2.74;10354.8;SongHau_SH39P.csv
SH40;BASSAC;SongHau;209200.0;630962.5891964585;1068645.2313617202;CuaDinhAn;17865.3;36.8;420;1785.2;-11.81;0.5;2.29;20629.2;SongHau_SH40.csv
SH40P;BASSAC;SongHau;209200.0;626212.3183454312;1063836.0818486202;CuaTranDe;19013.4;4.1;275;1313.0;-10.72;0.41;0.2;12043.0;SongHau_SH40P.csv
SH41;BASSAC;SongHau;213900.0;634546.0556314269;1065671.343013698;CuaDinhAn;22520.6;51.5;484;2280.0;-10.75;2.22;1.15;23096.1;SongHau_SH41.csv
SH41P;BASSAC;SongHau;213900.0;629365.0454650505;1059691.651363879;CuaTranDe;24226.3;121.6;375;1637.8;-9.22;-0.93;0.48;12901.9;SongHau_SH41P.csv
SH42;BASSAC;SongHau;218400.0;638064.624363941;1062640.840671563;CuaDinhAn;27150.6;190.6;569;2635.6;-12.19;1.69;0.64;25587.4;SongHau_SH42.csv
SH42P;BASSAC;SongHau;218400.0;631975.9295751585;1055098.9509346506;CuaTranDe;29553.3;126.1;348;1694.1;-11.46;0.88;2.06;13379.0;SongHau_SH42P.csv
SH43;BASSAC;SongHau;223215.0;642104.8716633501;1060214.6344448703;CuaDinhAn;31862.3;110.2;565;2734.0;-11.17;1.86;0.7;25208.7;SongHau_SH43.csv
SH43P;BASSAC;SongHau;223215.0;633790.4764635349;1051054.33455306;CuaTranDe;33990.9;51.4;564;2715.0;-9.5;1.73;0.4;15710.1;SongHau_SH43P.csv
VN1;VamNao;SongVamNao;355.0;538397.1957703609;1184279.2155686917;Tien_2;22940.2;67.5;270;1056.4;-18.33;2.61;-1.33;11327.3;SongVamNao_VN1.csv
VN2;VamNao;SongVamNao;5260.0;536935.6181875676;1179672.5284970938;VamNao;6117.2;54.6;166;639.6;-23.26;-1.02;4.56;8746.6;SongVamNao_VN2.csv
VN3;VamNao;SongVamNao;9855.0;537626.8654641908;1175126.7836645239;VamNao;10749.7;108.8;177;700.0;-14.76;-0.47;3.16;8131.7;SongVamNao_VN3.csv
