ten;vn;kmz;song;pre;num;suf;x_utm;y_utm;co_z;ch_survey;rong_excel;rong_tuyen;z_day;n_pt;file_excel;mike1;mike1_ch;mike1_d;mike2;mike2_ch;mike2_d;mike3;mike3_ch;mike3_d
CC12P;CC12P;CC;CoChien;CC;12;P;644794.0;1109917.3;yes;53350.0;288.7;787.5;-6.78;66;SongCoChien;CoChien_4;4025.8;29.0;C17;6542.4;1005.0;C16;11346.3;1848.2
CC13;CC13;CC;CoChien;CC;13;;647206.3;1106012.3;yes;57800.0;2633.4;3516.7;-17.61;536;SongCoChien;CoChien;60220.0;203.9;CuaCungHau;0.0;1016.6;CuaCoChien;0.0;1110.8
CC14;CC14;CC;CoChien;CC;14;;650199.8;1104163.1;yes;61500.0;1589.5;1592.0;-14.71;325;SongCoChien;CuaCoChien;2499.8;67.4;C17;16634.4;1595.8;CuaCungHau;2877.8;1672.7
CC14p;CC14P;CC;CoChien;CC;14;P;649108.1;1102948.5;yes;61500.0;852.4;796.2;-13.23;177;SongCoChien;CuaCungHau;2806.6;41.1;TRAVINH;0.0;231.9;CuaCoChien;2460.6;1700.0
CC15;CC15;CC;CoChien;CC;15;;654102.6;1101567.4;yes;65700.0;1406.6;1760.3;-15.87;289;SongCoChien;CuaCoChien;7191.5;50.5;C25;8015.2;504.6;CuaCungHau;7141.7;2486.9
CC15P;CC15P;CC;CoChien;CC;15;P;652363.2;1099653.8;yes;65700.0;1100.3;1424.0;-12.78;231;SongCoChien;CuaCungHau;7496.5;45.9;CuaCoChien;6975.6;2627.6;C25;8015.2;2850.0
CC16;CC16;CC;CoChien;CC;16;;658197.9;1099213.2;yes;70950.0;1273.5;1505.2;-13.59;263;SongCoChien;CuaCoChien;11937.3;38.5;C27;8752.8;2292.6;C26;4686.8;2653.4
CC16P;CC16P;CC;CoChien;CC;16;P;656709.4;1095843.4;yes;70950.0;1219.4;1653.3;-12.96;249;SongCoChien;CuaCungHau;13292.8;3.3;ngaihiep;0.0;1148.8;VINHKIMCANAL;0.0;2308.2
CC17;CC17;CC;CoChien;CC;17;;662858.2;1096652.7;yes;76300.0;1371.8;1781.9;-15.83;283;SongCoChien;CuaCoChien;17306.0;113.9;C29;9001.3;771.1;;;
CC17P1;CC17P1;CC;CoChien;CC;17;P1;659844.4;1092872.1;no;;;1926.9;;;;CuaCungHau;17644.9;146.7;VINHKIMCANAL;1838.7;1986.3;nhatho_vannhat;0.0;2104.8
CC17P2;CC17P2;CC;CoChien;CC;17;P2;660739.1;1093735.4;no;;;667.3;;;;CuaCungHau;17590.9;1095.3;VINHKIMCANAL;0.0;2944.9;;;
CC18;CC18;CC;CoChien;CC;18;;666593.9;1092750.3;yes;81700.0;1707.9;2012.4;-15.16;347;SongCoChien;CuaCoChien;22753.7;137.7;C30;10363.4;1338.8;;;
CC18P;CC18P;CC;CoChien;CC;18;P;663064.9;1090025.1;yes;81700.0;2482.7;2921.3;-9.46;493;SongCoChien;CuaCungHau;21931.4;34.0;VINHBINH;12082.1;2150.3;;;
CC19;CC19;CC;CoChien;CC;19;;669921.1;1089692.5;yes;86060.0;1752.1;1894.9;-12.43;361;SongCoChien;CuaCoChien;27261.7;55.0;C32;8882.8;2974.0;;;
CC19P;CC19P;CC;CoChien;CC;19;P;665854.4;1086605.0;yes;86060.0;2597.5;2752.3;-9.29;531;SongCoChien;CuaCungHau;26410.9;268.7;VINHBINH;10038.3;1010.0;;;
