ten;pre;num;suf;loai_suf;x_utm;y_utm;co_z;nhanh_mike;ch_mike;d_chieu;rong_sv;rong_tuyen;day_sv;rong_mike;day_mike;topo;lech_rong;lech_day;bief;absc
CC17;CC;17.0;;chinh;662858.2;1096652.7;yes;CuaCoChien;17306.0;113.9;1371.8;1781.9;-15.83;1371.8;-15.83;2021_SIWRP_QHPCTT;-0.0;0.0;4.0;3019998.0
CC17P1;CC;17.0;P1;nhanh;659844.4;1092872.1;no;CuaCungHau;17644.9;146.7;;1926.9;;;;2021_SIWRP_QHPCTT;;;5.0;4020682.9
CC17P2;CC;17.0;P2;nhanh;660739.1;1093735.4;no;CuaCungHau;17590.9;1095.3;;667.3;;;;2021_SIWRP_QHPCTT;;;5.0;4020628.9
CC18;CC;18.0;;chinh;666593.9;1092750.3;yes;CuaCoChien;22753.7;137.7;1707.9;2012.4;-15.16;1707.9;-15.16;2021_SIWRP_QHPCTT;0.0;0.0;4.0;3025445.7
CC18P;CC;18.0;P;nhanh;663064.9;1090025.1;yes;CuaCungHau;21931.4;34.0;2482.7;2921.3;-9.46;2482.7;-9.46;2021_SIWRP_QHPCTT;0.0;0.0;5.0;4024969.4
CC19;CC;19.0;;chinh;669921.1;1089692.5;yes;CuaCoChien;27261.7;55.0;1752.1;1894.9;-12.43;1752.1;-12.43;2021_SIWRP_QHPCTT;0.0;0.0;4.0;3029953.7
CC19P;CC;19.0;P;nhanh;665854.4;1086605.0;yes;CuaCungHau;26410.9;268.7;2597.5;2752.3;-9.29;2597.5;-9.29;2021_SIWRP_QHPCTT;0.0;0.0;5.0;4029448.9
HL1;HL;1.0;;chinh;626127.1;1135885.8;yes;Ham Luong;1426.1;13.8;887.4;919.1;-13.89;887.4;-13.89;2021_SIWRP_QHPCTT;0.0;0.0;10.0;9003004.1
HL2;HL;2.0;;chinh;630749.5;1133829.0;yes;Ham Luong;6757.5;26.2;365.3;446.3;-14.91;365.3;-14.91;2021_SIWRP_QHPCTT;0.0;0.0;10.0;9008335.5
HL2P1;HL;2.0;P1;nhanh;630821.9;1133098.2;yes;HamLuong_1;914.0;7.6;358.6;369.2;-16.2;361.6;-16.2;2021_SIWRP_QHPCTT;-3.0;0.0;;
HL2P2;HL;2.0;P2;nhanh;630673.1;1132431.7;yes;HamLuong_2;2424.9;35.9;300.1;354.7;-11.22;300.1;-11.22;2021_SIWRP_QHPCTT;0.0;0.0;;
HL3;HL;3.0;;chinh;635055.5;1132798.6;yes;Ham Luong;11905.2;70.7;553.8;673.1;-23.58;553.8;-23.58;2021_SIWRP_QHPCTT;-0.0;0.0;10.0;9013483.2
HL4;HL;4.0;;chinh;639584.8;1134598.6;yes;Ham Luong;16820.2;80.9;1128.2;1412.7;-11.91;1128.2;-11.91;2021_SIWRP_QHPCTT;-0.0;0.0;10.0;9018398.2
HL5;HL;5.0;;chinh;644260.0;1133305.6;yes;Ham Luong;21885.1;22.0;833.0;1038.8;-15.92;833.0;-15.92;2021_SIWRP_QHPCTT;0.0;0.0;10.0;9023463.1
HL6;HL;6.0;;chinh;646437.0;1131329.0;yes;Ham Luong;24857.3;8.1;714.2;1071.6;-15.73;714.2;-15.73;2021_SIWRP_QHPCTT;0.0;0.0;10.0;9026435.3
HL7;HL;7.0;;chinh;648823.0;1126330.3;yes;Ham Luong;30660.7;21.2;804.6;843.7;-12.06;804.6;-12.06;2021_SIWRP_QHPCTT;0.0;0.0;10.0;9032238.7
HL7P1;HL;7.0;P1;nhanh;649592.8;1126426.7;yes;HamLuong_3;946.5;10.6;179.7;277.5;-6.41;179.7;-6.41;2021_SIWRP_QHPCTT;-0.0;0.0;;
HL7P2;HL;7.0;P2;nhanh;650361.4;1126574.4;yes;HamLuong_4;2289.1;36.1;468.8;607.6;-13.05;468.8;-13.05;2021_SIWRP_QHPCTT;-0.0;0.0;;
